;ESTADO_PROMESAS;MORA;VECES_EN_COBRANZAS;CUOTAS_ADEUDADAS_0;CUOTAS_ADEUDADAS_1;CUOTAS_ADEUDADAS_2;DIA_SEMANA_Friday;DIA_SEMANA_Monday;DIA_SEMANA_Thursday;DIA_SEMANA_Tuesday;DIA_SEMANA_Wednesday;PERIODO_DIA_mañana;PERIODO_DIA_tarde;PERIODO_DIA_noche;ANTIGUEDAD;DEUDAVENCIDA_ACTUAL;DEUDAVENCIDA_1MES;DEUDAVENCIDA_2MESES;DEUDA_TOTAL
112;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0.25;0.6595016357271795;0.7710001030936311;0.7359702164558983;0.7509793022868452
113;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0.75;0.7070909869153668;0.8569410276668119;0.0;0.6230054109820147
114;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0.25;0.18745107375398806;0.666326148763988;0.0;0.5625338196048841
115;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0.5;0.36567959539187045;0.0;0.0;0.5364793933244953
116;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0.5;0.8327987273147377;0.0;0.0;0.7839956803714243
117;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0.75;0.6840320496293446;0.0;0.0;0.6382749573291673
118;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0.25;0.4757673810832461;0.0;0.0;0.25593404499724914
119;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.5;0.7067210241496058;0.7976743378862441;0.839553092746986;0.7142558972275712
120;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0.5;0.1298405266025635;0.49829247091460077;0.0;0.2822634003098441
121;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0.25;0.25727729736440574;0.45228256148424545;0.5899464993860764;0.38939483045870493
122;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0.5;0.6464209360904245;0.0;0.0;0.5485144746605282
123;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0.25;0.5287160315058241;0.7696342374385113;0.7348724628084783;0.4577026753802935
124;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0.5;0.37023916139300805;0.5580497812253337;0.5385417675426936;0.023938585040842897
125;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0.25;0.5499036102615624;0.0;0.0;0.5516140369344282
126;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0.5;0.6793603040953189;0.0;0.0;0.7109020169953122
127;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.3674010149122987;0.0;0.7472709348213975;0.5792656174168145
128;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.6351157875681481;0.6241644763186645;0.0;0.5885932512785257
129;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0.5;0.4715607003169513;0.21280030381529685;0.6786983817437168;0.12604783540358366
130;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.4664707726239401;0.6524915125993364;0.6221450738372681;0.4409008898350977
131;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0.0;0.44164251710211766;0.0;0.6116623286368417;0.31477285607019656
132;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0.5;0.6001968766312773;0.7196992249067952;0.0;0.40615811154930515
133;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0.5;0.5804651735676629;0.8023220975004489;0.8111222002396293;0.5943365549943271
134;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0.25;0.5762548761168333;0.0;0.0;0.632938944125351
135;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0.75;0.5362903936385051;0.05275030291293198;0.6636528887899911;0.3587696094806001
136;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0.25;0.5143730322681515;0.0;0.7739328654589605;0.3970762087166735
137;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0.25;0.6638592716701581;0.0;0.0;0.08036891800832513
138;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0.25;0.5895587331660606;0.6426035721479804;0.25647475351829613;0.6528032197573093
139;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0.5;0.6845628363446101;0.0;0.0;0.5234364675508201
140;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0.25;0.3498866360778067;0.0;0.0;0.47437764991291154
141;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0.25;0.48824363043619146;0.6666682501426798;0.6880731103654196;0.660548304455076
142;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0.0;0.2921366439466603;0.0;0.0;0.021467970705012274
143;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1.0;0.26678226118720083;0.0;0.0;0.02030564340345209
144;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.26309968186131283;0.0;0.0;0.3435200696561511
145;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0.25;0.48724575264150927;0.0;0.6182748907856066;0.3776391302894837
146;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0.75;0.7958797871880228;0.0;0.0;0.645198804477936
147;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.25;0.2786330292826932;0.5194428897446278;0.4847865769112553;0.5654216173406696
148;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0.5;0.663118784665885;0.0;0.0;0.6054070591865641
